"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"特開2021-025288","特願2019-143564","2019/08/05","2021/02/22","主桁とコンクリート床版の合成化構造、及び主桁とコンクリート床版の再合成化方法","コンクリートコーリング株式会社,株式会社横河ブリッジ,株式会社大林組","E01D19/12,E01D24/00,E01D21/00@B","特開2021-025288","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-025288/A996504E6EE18BD26208635B89322C579E66A2787D9C34DA936D3EA82C93890E/11/ja"
"特開2021-023976","特願2019-145774","2019/08/07","2021/02/22","異材接合用アークスタッド溶接方法、接合補助部材及び異材溶接継手","株式会社神戸製鋼所,日本スタッドウェルディング株式会社","B23K9/20@A,B23K9/23@H,B23K9/23@F","特開2021-023976","","特許7256498","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-023976/39FC650F42BA96E42EBFD36F69F398037CB9FCFE18A554918FCF88EAC62561C9/11/ja"
"特開2021-023975","特願2019-145773","2019/08/07","2021/02/22","異材接合用アークスタッド溶接法","株式会社神戸製鋼所,日本スタッドウェルディング株式会社","B23K9/20@A,B23K9/23@H","特開2021-023975","","特許7111665","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-023975/2107B9DDB9677FDB51D621369ECB8E378803809B06A64927A5AB4DAAACD43753/11/ja"
"特開2021-010930","特願2019-126794","2019/07/08","2021/02/04","スタッド溶接機","株式会社アマダホールディングス","B23K9/20@D","特開2021-010930","","特許7253466","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-010930/211937E63F3DC86C93DD1D3B6FD76793E8830AFFC60C8CD35CAEB8351A9D037F/11/ja"
"特開2021-004469","特願2019-117837","2019/06/25","2021/01/14","止水構造","テクノワールド株式会社","E01D19/08,E01C11/02@Z","特開2021-004469","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-004469/299744DC28DEAD53B51CF15A1C80F1850017EF0DDFDD38150922D3C4DEB41D69/11/ja"
"特開2020-204151","特願2019-110757","2019/06/14","2020/12/24","既存矢板式岸壁の改良構造及び改良方法","ＪＦＥエンジニアリング株式会社,ＪＦＥスチール株式会社","E02D5/04,E02B3/06","特開2020-204151","","特許7017541","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-204151/8957AE99854D0CE1B9E0F81C6AC192E5B71C68880380D44B528C36340F445E60/11/ja"
"特表2022-535241","特願2021-571593","2020/03/31","2020/12/10","締結システム及び供給管内のファスナーの存在を検知する方法","ニューフレイ　リミテッド　ライアビリティ　カンパニー","B21J15/28@N,B21J15/32@F,B23K9/20@F","特表2022-535241","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-535241/0A59FE836C09259796FD1A026EBD28AA9F27F798B7617D9906F33E7B71D9020E/11/ja"
"特開2020-196024","特願2019-102777","2019/05/31","2020/12/10","スポット溶接システム","ファナック株式会社","B23K11/11,540,B23K11/24,336","特開2020-196024","","特許7201537","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-196024/72E65DFB2AC232C2FE40AF7B360423342ECC22862A5912614E5167584D51A681/11/ja"
"特開2020-192588","特願2019-100704","2019/05/29","2020/12/03","溶接打点監視装置","ラムテクノロジーズ合同会社","B23K11/24,398,B23K11/24,335,B23K11/11,540","特開2020-192588","","特許7176746","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-192588/46D6A04A7222BDFAC3B428BF0025A6FD7F92B62BD3A92C9760D1EA9B43876158/11/ja"
"特許6785347","特願2019-141554","2019/07/31","2020/11/18","床版構造および床版取替え方法","株式会社横河ＮＳエンジニアリング,日本製鉄株式会社","E01D19/12,E01D22/00@A","特開2021-025229","","特許6785347","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-6785347/A16601D4F57A1F802F5D586B6BE7776DEED4F1DF604322691EF3EA7FA722D333/15/ja"
"特表2022-530242","特願2021-564127","2020/04/20","2020/10/29","耐火アンカー","シリコン　リフラクトリー　アンカリング　システムズ　ビー．ブイ．","F27D1/10,B23K9/20@C","特表2022-530242","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-530242/4A1F05604F5DAF20BD973BBCC3C3349968DC53709733152347D80FEBB40B5894/11/ja"
"特開2020-172072","特願2019-075785","2019/04/11","2020/10/22","真空成形型の製造方法","トヨタ車体株式会社","B29C51/36,B29C33/38","特開2020-172072","","特許7140035","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-172072/61427844A78E9C988AC85F3CFB323268B30B6ABE4AC56B4357AE2F6F75CA4257/11/ja"
"特開2020-163517","特願2019-066351","2019/03/29","2020/10/08","ロボット制御装置及びロボットシステム","ファナック株式会社","B25J13/08@Z,B25J9/10@A,B23K11/11,570@Z,B23K11/24,335,B23K11/24,338","特開2020-163517","","特許7015267","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-163517/4FD06D0A7128C1BBC56C1021C7F2E11109E02381659C00FC7849DD9C35D230E4/11/ja"
"特表2022-521602","特願2021-549559","2020/02/25","2020/09/03","スタッドをワークピースと溶接するためのスタッド溶接方法及びスタッド溶接装置","ヒルティ　アクチエンゲゼルシャフト","B23K9/073,550,B23K9/20@D","特表2022-521602","","特許7153144","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2022-521602/FCC5A9A1DA6F95C654149479621E85AC8C8376D885FA85C2453D4330B219B3FB/11/ja"
"特開2020-139367","特願2019-037527","2019/03/01","2020/09/03","ＰＣａ床版の仮固定治具","ショーボンド建設株式会社","E01D21/00@B,E01D2/02,E01D19/12,E01D21/00@Z","特開2020-139367","","特許7189807","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-139367/FBF6E632CEB5F9755945F9CB84C354CA757AD51CE34AFA7E65AB5BE0B4F4B047/11/ja"
"特開2020-125685","特願2020-090386","2020/05/25","2020/08/20","ツール","エスコ・グループ・エルエルシー","E02F9/28@Z","特開2020-125685","","特許6925482","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-125685/3AEA04BB234381297C6BB5F20348F4835B1FF0D4132EF7D9705AFC832B5EB998/11/ja"
"実登3227105","実願2020-001454","2020/04/22","2020/08/06","被覆構造体","株式会社エフコンサルタント","E04B1/94@D,E04B1/94@U","","","実登3227105","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-3227105/A6AC177E3BD1235B95EB70219A1F435025803F6A69A2C14AE84C67210EAF45ED/25/ja"
"実登3227104","実願2020-001453","2020/04/22","2020/08/06","被覆構造体","株式会社エフコンサルタント","E04B1/94@D,E04B1/94@U,E04B1/94@X","","","実登3227104","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-3227104/CDC6C066198247807A2089E0C0BEFDBEE9EED55C6A7CD203A973F2B6B45193E3/25/ja"
"特開2020-106170","特願2018-243041","2018/12/26","2020/07/09","燃焼バーナ、ボイラ及び燃焼バーナの組立方法","三菱日立パワーシステムズ株式会社,三菱重工業株式会社","F23D1/00@C","特開2020-106170","","特許7086831","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2020-106170/DEB5277733DEE05C7707A7FC08579DF0732EDDB4DE4D50AA719C84CE201B8092/11/ja"
